Index,lat,lon,Date,OLR_w/m2,co2_conc,avg_temp_kelvin
518,22,72.5,16/10/2014,316.922,395.628,301.493
519,22,75,16/10/2014,302.7815,396.248,298.411
520,24,70,16/10/2014,333.5625,395.621,303.298
521,24,72.5,16/10/2014,321.3905,397.067,300.338
522,24,75,16/10/2014,301.344,395.591,297.802
523,20,70,16/11/2014,315.453,396.415,301.357
524,20,72.5,16/11/2014,318.5,397.271,300.96
525,20,75,16/11/2014,317.9685,396.368,296.117
526,22,70,16/11/2014,316.0625,396.203,300.151
527,22,72.5,16/11/2014,315.6095,397.435,299.999
528,22,75,16/11/2014,309.922,396.553,296.971
529,24,70,16/11/2014,321.828,396.657,299.754
530,24,72.5,16/11/2014,319.0625,397.248,298.245
